iter	Passed	Remaining
459	795	934
460	797	932
461	798	929
462	799	927
463	801	925
464	802	923
465	803	920
466	804	918
467	806	916
468	807	914
469	808	911
470	809	909
471	811	907
472	812	905
473	813	902
474	814	900
475	816	898
476	817	896
477	819	894
478	820	892
479	822	890
480	823	888
481	824	886
482	826	884
483	827	882
484	828	879
485	829	877
486	831	875
487	832	873
488	834	871
489	835	869
490	836	867
491	838	865
492	839	863
493	841	861
494	842	859
495	844	858
496	845	856
497	847	854
498	848	852
499	850	850
500	852	849
501	853	847
502	855	845
503	856	843
504	857	840
505	859	839
506	860	836
507	862	834
508	863	833
509	864	830
510	866	828
511	867	827
512	868	824
513	870	822
514	871	820
515	872	818
516	874	816
517	875	814
518	877	813
519	878	811
520	880	809
521	881	807
522	883	805
523	884	803
524	886	801
525	887	799
526	888	797
527	890	795
528	891	793
529	892	791
530	894	789
531	895	787
532	896	785
533	897	783
534	899	781
535	900	779
536	902	778
537	903	776
538	905	774
539	906	772
540	907	770
541	909	768
542	910	766
543	911	764
544	912	762
545	914	760
546	915	758
547	916	756
548	918	754
549	919	752
550	920	750
551	922	748
552	923	746
553	924	744
554	926	742
555	927	740
556	929	738
557	930	737
558	932	735
559	933	733
560	935	732
561	937	730
562	938	728
563	939	726
564	940	724
565	942	722
566	943	720
567	944	718
568	946	716
569	947	715
570	949	713
571	950	711
572	952	709
573	953	707
574	955	705
575	956	704
576	958	702
577	959	700
578	960	698
579	962	696
580	963	694
581	964	692
582	965	690
583	967	689
584	968	687
585	970	685
586	971	683
587	973	682
588	974	680
589	976	678
590	977	676
591	979	675
592	981	673
593	982	671
594	983	669
595	985	667
596	986	666
597	988	664
598	989	662
599	990	660
600	992	658
601	993	657
602	995	655
603	996	653
604	998	651
605	999	649
606	1000	647
607	1002	646
608	1003	644
609	1004	642
610	1006	640
611	1007	638
612	1008	636
613	1010	635
614	1011	633
615	1013	631
616	1014	629
617	1016	628
618	1017	626
619	1019	624
620	1021	623
621	1023	621
622	1024	619
623	1026	618
624	1027	616
625	1028	614
626	1030	612
627	1031	610
628	1032	609
629	1034	607
630	1035	605
631	1036	603
632	1038	602
633	1039	600
634	1041	598
635	1042	596
636	1044	594
637	1045	593
638	1046	591
639	1048	589
640	1049	587
641	1051	586
642	1052	584
643	1054	582
644	1055	581
645	1057	579
646	1058	577
647	1060	576
648	1062	574
649	1063	572
650	1065	571
651	1066	569
652	1067	567
653	1069	565
654	1070	563
655	1071	562
656	1073	560
657	1074	558
658	1076	556
659	1077	555
660	1079	553
661	1080	551
662	1081	549
663	1083	548
664	1084	546
665	1086	544
