iter	MultiClass
473	0.7639844912
474	0.7639657977
475	0.763963976
476	0.7639618928
477	0.7639450426
478	0.7639441973
479	0.7639435818
480	0.7639241438
481	0.7639222872
482	0.7639211678
483	0.7639099244
484	0.7639095724
485	0.7638798959
486	0.7638771825
487	0.7638761814
488	0.7638753365
489	0.7638747817
490	0.7638064965
491	0.7638049076
492	0.7637793653
493	0.7637778169
494	0.7637033249
495	0.7636981734
496	0.7636075433
497	0.7636074449
498	0.7635967184
499	0.7635957231
500	0.7635912835
501	0.7635558101
502	0.7635536717
503	0.7635336451
504	0.763517664
505	0.7635089215
506	0.7635082157
507	0.7635016686
508	0.7634232935
509	0.7633584649
510	0.7633561458
511	0.7633443893
512	0.7633439778
513	0.7633151027
514	0.7633126505
515	0.7633081173
516	0.7633068056
517	0.7633021279
518	0.7632630477
519	0.7632266851
520	0.7632226337
521	0.7632207807
522	0.7632140956
523	0.7632136074
524	0.7632093786
525	0.7631139714
526	0.7630870815
527	0.7630783738
528	0.7630750638
529	0.7630736814
530	0.7630435589
531	0.7630323388
532	0.7630212113
533	0.7630095557
534	0.763008735
535	0.7630052731
536	0.7630041798
537	0.7629152493
538	0.7628704802
539	0.7628614888
540	0.7628612293
541	0.7628596519
542	0.7628584499
543	0.7628579113
544	0.7628565335
545	0.7628561225
546	0.7628298723
547	0.7627680147
548	0.7627642769
549	0.7627619903
550	0.7627229476
551	0.7627214173
552	0.7627139133
553	0.7627134469
554	0.7627086653
555	0.7627058408
556	0.762705782
557	0.7626882366
558	0.7626857418
559	0.7626162043
560	0.7626143146
561	0.7625740023
562	0.7625731563
563	0.7625725428
564	0.762562473
565	0.7625616114
566	0.7625609677
567	0.7625418648
568	0.7625411081
569	0.7625326992
570	0.7625189205
571	0.7625148899
572	0.7625133121
573	0.7624742405
574	0.7624730998
575	0.7624643012
576	0.762438665
577	0.7624327142
578	0.7624320478
579	0.7624310379
580	0.7624217975
581	0.7624217485
582	0.7623682007
583	0.7623294126
584	0.7623176021
585	0.7623165309
586	0.7623157167
587	0.7623117383
588	0.7621634058
589	0.7621460194
590	0.7621456702
591	0.7621407155
592	0.762131174
593	0.7621301376
594	0.7621252282
595	0.7621227326
596	0.7621224243
597	0.7621217156
598	0.7621178279
599	0.7621170431
600	0.7620855952
601	0.7620820148
602	0.7620780533
603	0.7620604701
604	0.7620522442
605	0.76201601
606	0.7620149227
607	0.7620133797
608	0.762006174
609	0.7618999968
610	0.7618969969
611	0.7618963782
612	0.7618954163
613	0.7618951424
614	0.7618810563
615	0.7618795542
616	0.7618792026
617	0.7618791607
618	0.7618777772
619	0.7618747501
620	0.7618718125
621	0.7618688133
622	0.7618677902
623	0.7618672522
624	0.7618670147
625	0.7617404039
626	0.7617108723
627	0.761649037
628	0.7616437837
629	0.7614053884
630	0.7613920759
631	0.761389364
632	0.7613696185
633	0.7613599478
634	0.7613582261
635	0.7612853175
636	0.7612844744
637	0.7611852859
638	0.7611846525
639	0.7611318519
640	0.7611314048
641	0.7611306923
642	0.7611234039
643	0.7611055713
644	0.7610474203
645	0.7610322144
646	0.7610231224
647	0.7610172075
648	0.7610153298
649	0.7610013676
650	0.7609996703
651	0.7609516929
652	0.760950306
653	0.7609492007
654	0.7609488869
655	0.7609483732
656	0.7609474073
657	0.7609471576
658	0.7609468509
659	0.7609451233
660	0.7609445004
661	0.7609285598
662	0.7609250803
663	0.760922921
664	0.7609207076
665	0.7609199887
666	0.7609191743
667	0.7609168956
668	0.7609163798
669	0.7608411687
670	0.7607903561
671	0.7607901625
672	0.760720146
673	0.7607188498
674	0.7607129689
675	0.7607088324
676	0.7606851572
677	0.7606840183
678	0.7606759056
679	0.7606718153
680	0.7606711859
681	0.7605536347
682	0.7605311748
683	0.7605243286
684	0.7605232012
685	0.7605195958
686	0.7605116943
687	0.7605090635
688	0.7605022314
689	0.7604927154
690	0.7604915559
691	0.7604814573
692	0.7604636242
693	0.7604421072
694	0.7604403862
695	0.7604398544
696	0.7604165855
697	0.7603612544
698	0.760350077
699	0.7600972773
700	0.7600834286
701	0.7600797284
702	0.7600567903
703	0.7600559373
704	0.7600555792
705	0.7600296926
706	0.7600264954
707	0.7600248663
708	0.7600218581
709	0.7600029538
710	0.7600026223
711	0.759999468
712	0.7599991299
713	0.7599745992
714	0.7599686996
715	0.7599686724
716	0.759968497
717	0.7599071018
718	0.7599047015
719	0.7598786378
720	0.7598739131
721	0.759873117
722	0.7598703885
723	0.7598593206
724	0.7598557548
725	0.7597088046
726	0.7597067025
727	0.7597039708
728	0.7596971223
729	0.7596962143
730	0.7596957715
731	0.759695658
732	0.7596952037
733	0.7596816182
734	0.7596597174
735	0.7596545369
736	0.7596526498
737	0.7596367327
738	0.7596254709
739	0.7596240818
740	0.7596226637
741	0.7596103338
742	0.7596042142
743	0.759603693
744	0.7596027367
745	0.7596015785
746	0.7596009808
747	0.7595931029
748	0.7595726507
749	0.7595715799
750	0.7595565343
751	0.759554993
752	0.7595318783
753	0.759531381
754	0.7595177858
755	0.7595177134
756	0.7595153893
757	0.7595152157
758	0.7595013405
759	0.7595006218
760	0.7594996937
761	0.7594994551
762	0.7594993905
763	0.7594960839
764	0.7594956862
765	0.7594954588
766	0.7594954387
767	0.7594943873
768	0.7594854484
769	0.7594407641
770	0.7594312443
771	0.7594269522
772	0.7594107645
773	0.7594073548
774	0.7594066905
775	0.7594058595
776	0.7593945519
777	0.7593929834
778	0.7593624795
779	0.7593619375
780	0.759357486
781	0.7593541704
782	0.7593525732
783	0.7593520909
784	0.7593041291
785	0.7593030171
786	0.7593028286
787	0.7593024753
788	0.7593023731
789	0.7592593818
790	0.7592530743
791	0.7592341548
792	0.7592157605
793	0.7592155434
794	0.7592082644
795	0.7591763207
796	0.7591759072
797	0.759174666
798	0.7591135139
799	0.7591132345
800	0.7591118263
801	0.7590121253
802	0.759009898
803	0.7589676067
804	0.7589672726
805	0.7589666661
806	0.7589635618
807	0.7589633216
808	0.7589469352
809	0.7589382073
810	0.7589271371
811	0.7589177942
812	0.7588986014
813	0.7588978554
814	0.7588948726
815	0.758888508
816	0.7588854008
817	0.7588849212
818	0.7588846107
819	0.7588689738
820	0.7588668776
821	0.7588656677
822	0.7588650361
823	0.7588475664
824	0.758847524
825	0.7588469482
826	0.7588459097
827	0.7588452937
828	0.7588451876
829	0.7588445652
830	0.7588112765
831	0.7588070686
832	0.7588055439
833	0.7587874914
834	0.7587759358
835	0.7587466264
836	0.7587460056
837	0.7587450907
838	0.7587446704
839	0.7587440602
840	0.7587408197
841	0.758711228
842	0.7586905393
843	0.7586895681
844	0.7586859058
845	0.7586784564
846	0.7586736486
847	0.758673317
848	0.7586529463
849	0.7586520919
850	0.7586320197
851	0.7586122095
852	0.7586092032
853	0.7586088469
854	0.7586081136
855	0.7585891141
856	0.7585887431
857	0.7585859287
858	0.7585773421
859	0.7585751684
860	0.7585744288
861	0.7585733748
862	0.7585635201
863	0.7585235374
864	0.7585227711
865	0.7585079762
866	0.7584903867
867	0.7584478348
868	0.758403012
869	0.7583878631
870	0.7583833898
871	0.7583655722
872	0.7583363521
873	0.7582960548
874	0.7582941957
875	0.7582886472
876	0.7582873506
877	0.7582457522
878	0.7582372855
879	0.7582368426
880	0.7582349461
881	0.7582172042
882	0.7582165902
883	0.7582157857
884	0.7582145804
885	0.7582085373
886	0.7582082773
887	0.7582075569
888	0.7582074291
889	0.7581833094
890	0.758182316
891	0.758174214
892	0.7581697594
893	0.7581689921
894	0.7581687501
895	0.7581152237
896	0.7581139718
897	0.7581126248
898	0.7580834677
899	0.7580564542
900	0.7580506908
901	0.7580404161
902	0.7580402492
903	0.7580391926
904	0.7580377029
905	0.7580345558
906	0.7580335454
907	0.7580189989
908	0.7580169886
909	0.7580146029
910	0.7580135326
911	0.7579978526
912	0.7579961599
913	0.7579960468
914	0.7579959385
915	0.7579958298
916	0.7579731198
917	0.7579427617
918	0.7578950913
919	0.757894986
920	0.7578898524
921	0.7578638845
922	0.7578511152
923	0.757837542
924	0.757807524
925	0.7578067581
926	0.7577977262
927	0.7577946228
928	0.7577831945
929	0.7577710426
930	0.7577626975
931	0.7577619031
932	0.7577613173
933	0.7577578934
934	0.7577558022
935	0.7577541531
936	0.7577525392
937	0.7577148513
938	0.7577144972
939	0.7577127711
940	0.7577115619
941	0.7577112059
942	0.7577104928
943	0.7577104524
944	0.7576973842
945	0.7576815849
946	0.7576801079
947	0.7576790874
948	0.7576520127
949	0.7576505677
950	0.7576483016
951	0.7576229463
952	0.7576215302
953	0.757592914
954	0.7575665753
955	0.7575663733
956	0.7575645054
957	0.7575621217
958	0.7575519338
959	0.7575512958
960	0.7575504773
961	0.7575359479
962	0.7575328781
963	0.7575315243
964	0.7575108171
965	0.7575091839
966	0.7575080564
967	0.7575066226
968	0.7574436115
969	0.757443082
970	0.7574425756
971	0.7574272494
972	0.7574221404
973	0.757421806
974	0.7574211327
975	0.7574209483
976	0.7574206718
977	0.7574167061
978	0.7574117508
979	0.7573996085
980	0.7573991189
981	0.7573978238
982	0.7573784238
983	0.7573173538
984	0.757314272
985	0.7573039803
986	0.7573038548
987	0.7572990161
988	0.7572886091
989	0.757285138
990	0.7572845262
991	0.7572832632
992	0.7572827985
993	0.7572747825
994	0.7572742184
995	0.7572738014
996	0.7572465312
997	0.7572397114
998	0.7571952092
999	0.7571898223
